kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err2,koi_time0bk,koi_time0bk_err2,koi_impact,koi_impact_err2,koi_duration,koi_duration_err2,koi_depth,koi_prad_err1,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_srad_err2,ra,dec,koi_kepmag,koi_prad
K00752.01,CONFIRMED,CANDIDATE,1.0,9.48803557,-2.775e-05,170.53875,-0.00216,0.146,-0.146,2.9575,-0.0819,615.8,0.26,793.0,93.59,35.8,1.0,5455.0,4.467,0.927,-0.061,291.93423,48.141651,15.347,2.26
K00752.02,CONFIRMED,CANDIDATE,0.969,54.4183827,-0.0002479,162.51384,-0.00352,0.586,-0.443,4.507,-0.116,874.8,0.32,443.0,9.11,25.8,2.0,5455.0,4.467,0.927,-0.061,291.93423,48.141651,15.347,2.83
K00755.01,CONFIRMED,CANDIDATE,1.0,2.525591777,-3.761e-06,171.59555,-0.00113,0.701,-0.478,1.6545,-0.042,603.3,0.88,1406.0,926.16,40.9,1.0,6031.0,4.438,1.046,-0.133,288.75488,48.2262,15.509,2.75
K00756.01,CONFIRMED,CANDIDATE,1.0,11.09432054,-2.036e-05,171.20116,-0.00141,0.538,-0.428,4.5945,-0.061,1517.5,1.27,835.0,114.81,66.5,1.0,6046.0,4.486,0.972,-0.105,296.28613,48.22467,15.714,3.9
K00756.02,CONFIRMED,CANDIDATE,1.0,4.13443512,-1.046e-05,172.97937,-0.0019,0.762,-0.532,3.1402,-0.0673,686.0,0.9,1160.0,427.65,40.2,2.0,6046.0,4.486,0.972,-0.105,296.28613,48.22467,15.714,2.77
K00756.03,CONFIRMED,CANDIDATE,0.992,2.56658897,-1.781e-05,179.55437,-0.00461,0.755,-0.523,2.429,-0.165,226.5,0.52,1360.0,807.74,15.0,3.0,6046.0,4.486,0.972,-0.105,296.28613,48.22467,15.714,1.59
K00112.02,CONFIRMED,CANDIDATE,1.0,3.709214104,-6.536e-06,133.98318,-0.00143,0.051,-0.051,2.6302,-0.0427,131.1,0.17,1206.0,500.46,50.6,2.0,5833.0,4.407,1.022,-0.107,295.64871,48.49556,12.772,1.16
K00746.01,CONFIRMED,CANDIDATE,1.0,9.27358173,-1.037e-05,173.258155,-0.000877,0.387,-0.386,3.2875,-0.0309,1288.3,0.2,649.0,41.85,87.2,1.0,4856.0,4.583,0.696,-0.068,288.13824,47.724449,15.302,2.47
K00747.01,CONFIRMED,CANDIDATE,1.0,6.02930329,-5.509e-06,171.602959,-0.000713,0.258,-0.258,1.5821,-0.0311,1912.7,0.26,678.0,50.04,65.4,1.0,4537.0,4.648,0.672,-0.036,283.71088,47.86327,15.784,2.85
K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.696370652,-7.534e-06,170.73769,-0.00234,0.044,-0.044,3.6129,-0.0686,397.9,0.13,1066.0,305.34,48.2,1.0,4989.0,4.504,0.819,-0.082,283.76547,47.804298,15.269,1.58
K00749.01,CONFIRMED,CANDIDATE,1.0,5.349553819,-8.834e-06,171.80694,-0.00127,0.092,-0.092,3.0278,-0.0471,831.0,0.16,919.0,168.99,60.6,1.0,5185.0,4.44,0.91,-0.086,292.37613,47.880989,15.416,2.55
K00749.02,CONFIRMED,CANDIDATE,0.98,3.94105221,-1.094e-05,136.08662,-0.00233,0.226,-0.226,2.5984,-0.0737,363.3,0.11,1018.0,253.15,28.9,2.0,5185.0,4.44,0.91,-0.086,292.37613,47.880989,15.416,1.7
K00749.03,CONFIRMED,CANDIDATE,0.971,8.10904807,-6.787e-05,132.8031,-0.00716,0.025,-0.025,3.596,-0.198,217.4,0.09,800.0,97.03,14.1,3.0,5185.0,4.44,0.91,-0.086,292.37613,47.880989,15.416,1.3
K00750.01,CONFIRMED,CANDIDATE,1.0,21.67699193,-7.01e-05,171.53594,-0.00258,0.896,-0.663,3.4555,-0.0656,857.2,0.12,530.0,18.64,34.3,1.0,4954.0,4.5,0.828,-0.065,290.46512,47.92918,15.377,2.95
K00751.01,CONFIRMED,CANDIDATE,1.0,4.99677968,-1.389e-05,171.74208,-0.00219,0.71,-0.533,2.1717,-0.0762,934.7,0.52,917.0,166.95,28.2,1.0,5339.0,4.552,0.847,-0.069,297.80826,47.946671,15.861,2.78
K00769.01,CONFIRMED,CANDIDATE,1.0,4.280963604,-6.141e-06,171.89659,-0.00115,0.424,-0.356,2.875,-0.042,750.8,0.58,1012.0,247.87,61.8,1.0,5644.0,4.564,0.831,-0.069,294.26581,49.314091,15.356,2.3
K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50635409,-4.7e-07,170.998064,-0.000246,0.86,-0.125,1.5155,-0.0483,2211.7,1.01,1452.0,1054.12,181.1,1.0,5714.0,4.563,0.831,-0.08,295.66522,49.351009,15.525,4.53
K00773.01,CONFIRMED,CANDIDATE,1.0,38.3775486,-0.0001602,172.82048,-0.00338,0.468,-0.267,5.588,-0.113,724.2,0.37,529.0,18.53,34.7,1.0,5481.0,4.369,1.036,-0.124,291.72202,49.480869,15.172,2.82
K00757.02,CONFIRMED,CANDIDATE,0.992,41.19725502,-9.345e-05,165.00404,-0.00171,0.045,-0.045,4.6297,-0.0633,2213.9,0.15,439.0,8.76,51.2,2.0,5031.0,4.485,0.848,-0.072,286.99948,48.37579,15.841,3.86
K00757.03,CONFIRMED,CANDIDATE,1.0,6.252962249,-9.577e-06,171.30126,-0.00117,0.105,-0.105,2.5819,-0.0426,1036.9,0.1,823.0,108.3,47.1,3.0,5031.0,4.485,0.848,-0.072,286.99948,48.37579,15.841,2.65
K00758.01,CONFIRMED,CANDIDATE,1.0,16.01308419,-4.854e-05,176.3608,-0.00243,0.799,-0.551,3.2554,-0.0791,1121.9,0.34,593.0,29.31,33.2,1.0,5015.0,4.499,0.826,-0.082,297.02563,48.478588,15.39,3.1
K00759.01,CONFIRMED,CANDIDATE,1.0,32.62876672,-5.801e-05,194.1019,-0.00138,0.021,-0.021,4.7971,-0.058,1804.8,0.76,506.0,15.55,80.0,1.0,5586.0,4.56,0.798,-0.077,285.71854,48.505859,15.082,3.36
K00759.02,CONFIRMED,CANDIDATE,0.978,91.7732862,-0.0007518,193.8378,-0.00643,0.606,-0.4,6.473,-0.204,652.0,0.48,359.0,3.92,19.1,2.0,5586.0,4.56,0.798,-0.077,285.71854,48.505859,15.082,2.12
K00762.01,CONFIRMED,CANDIDATE,1.0,4.49876511,-1.777e-05,171.34905,-0.003,0.312,-0.312,3.7362,-0.0934,460.0,0.65,1133.0,389.62,29.5,1.0,6075.0,4.486,0.969,-0.1,298.45685,48.791592,15.395,2.1
K00115.01,CONFIRMED,CANDIDATE,1.0,5.412203927,-3.052e-06,133.143089,-0.000468,0.787,-0.565,2.9472,-0.024,601.6,0.43,1093.0,337.68,166.7,1.0,5779.0,4.339,1.087,-0.142,287.88733,46.276241,12.791,2.94
K00765.01,CONFIRMED,CANDIDATE,1.0,8.35389523,-1.524e-05,171.63257,-0.00133,0.023,-0.023,2.2514,-0.0518,1041.6,0.54,790.0,91.9,43.4,1.0,5592.0,4.582,0.787,-0.073,285.49924,49.277351,15.317,2.52
K00766.01,CONFIRMED,CANDIDATE,1.0,4.125543472,-3.133e-06,169.752585,-0.000613,0.597,-0.367,3.1744,-0.0362,1487.3,1.44,1243.0,565.35,128.6,1.0,6174.0,4.417,1.103,-0.128,291.93616,49.253979,15.506,4.43
K00786.01,CONFIRMED,CANDIDATE,1.0,3.689920099,-8.982e-06,170.36571,-0.00191,0.151,-0.151,2.6557,-0.0677,426.7,0.54,1147.0,408.99,35.6,1.0,5880.0,4.518,0.917,-0.098,291.62241,50.61824,15.242,1.89
K00787.01,CONFIRMED,CANDIDATE,1.0,4.431238488,-6.106e-06,171.015,-0.00111,0.405,-0.405,3.15,-0.0423,1010.9,0.47,1104.0,351.23,71.1,1.0,5714.0,4.428,1.015,-0.079,295.81616,51.121738,15.367,3.25
K00787.02,CONFIRMED,CANDIDATE,1.0,11.37936986,-2.415e-05,133.84992,-0.00183,0.911,-0.656,2.6255,-0.073,1023.5,0.57,806.0,99.68,37.9,2.0,5714.0,4.428,1.015,-0.079,295.81616,51.121738,15.367,3.95
K00788.01,CONFIRMED,CANDIDATE,1.0,26.39432897,-5.724e-05,176.05459,-0.00176,0.602,-0.396,3.573,-0.0643,1510.9,0.41,489.0,13.49,48.2,1.0,5129.0,4.595,0.763,-0.055,289.39972,51.25032,15.234,3.07
K00116.01,CONFIRMED,CANDIDATE,1.0,13.57078281,-1.585e-05,136.279194,-0.000957,0.866,-0.621,3.3539,-0.0489,511.7,0.4,785.0,89.61,88.4,1.0,5854.0,4.406,1.012,-0.103,300.86398,44.337551,12.882,2.64
K00115.02,CONFIRMED,CANDIDATE,1.0,7.12594387,-1.406e-05,139.00492,-0.00159,0.898,-0.699,3.0014,-0.0384,192.4,0.26,997.0,233.31,47.1,2.0,5779.0,4.339,1.087,-0.142,287.88733,46.276241,12.791,1.79
K00775.01,CONFIRMED,CANDIDATE,1.0,16.38489988,-5.219e-05,172.72782,-0.00248,0.001,-0.001,3.0249,-0.0798,1127.1,0.09,433.0,8.35,28.9,2.0,4126.0,4.661,0.615,-0.029,286.73804,49.97575,15.095,2.0
K00775.02,CONFIRMED,CANDIDATE,1.0,7.8774163,-1.493e-05,176.3759,-0.00147,0.041,-0.041,2.0805,-0.0517,1306.1,0.09,553.0,22.18,38.7,1.0,4126.0,4.661,0.615,-0.029,286.73804,49.97575,15.095,2.16
K00775.03,CONFIRMED,CANDIDATE,1.0,36.4454001,-0.0001809,151.60125,-0.00392,0.028,-0.028,4.007,-0.126,1122.3,0.09,332.0,2.88,21.7,3.0,4126.0,4.661,0.615,-0.029,286.73804,49.97575,15.095,1.99
K00778.01,CONFIRMED,CANDIDATE,1.0,2.243380573,-2.67e-06,170.679233,-0.0009,0.915,-0.63,1.1196,-0.0384,821.7,0.1,822.0,107.6,38.9,1.0,4149.0,4.698,0.564,-0.033,285.17621,50.149818,15.135,1.99
K00780.01,CONFIRMED,CANDIDATE,1.0,2.337437946,-1.951e-06,171.761982,-0.000659,0.28,-0.28,1.9982,-0.0271,971.2,0.17,1070.0,311.16,82.4,1.0,5005.0,4.595,0.765,-0.028,293.83331,50.23035,15.334,2.34
K00115.03,CANDIDATE,CANDIDATE,0.871,3.43591631,-4.729e-05,132.6624,-0.011,0.624,-0.476,3.133,-0.407,23.2,0.08,1272.0,617.61,8.7,3.0,5779.0,4.339,1.087,-0.142,287.88733,46.276241,12.791,0.55
K00781.01,CONFIRMED,CANDIDATE,1.0,11.59822233,-1.407e-05,180.395376,-0.000923,0.679,-0.47,2.5237,-0.052,2804.5,0.21,396.0,5.82,71.0,1.0,3688.0,4.79,0.473,-0.051,296.22195,50.28722,15.937,2.65
K00783.01,CONFIRMED,CANDIDATE,1.0,7.275040844,-4.677e-06,169.994217,-0.000507,0.547,-0.229,7.5377,-0.0681,3001.0,1.05,833.0,113.64,312.1,1.0,5485.0,4.556,0.867,-0.067,295.45529,50.49456,15.08,4.86
K00784.01,CONFIRMED,CANDIDATE,1.0,19.27153892,-4.145e-05,186.77093,-0.00182,0.031,-0.031,2.7594,-0.0551,1219.8,0.1,393.0,5.66,37.1,1.0,4077.0,4.702,0.56,-0.034,293.97336,50.53191,15.385,1.93
K00784.02,CONFIRMED,CANDIDATE,1.0,10.06524317,-1.49e-05,136.28906,-0.00119,0.628,-0.478,1.369,-0.0393,1053.3,0.1,488.0,13.43,30.3,2.0,4077.0,4.702,0.56,-0.034,293.97336,50.53191,15.385,1.91
K00785.01,CONFIRMED,CANDIDATE,1.0,12.3935651,-3.932e-05,178.74725,-0.00245,0.883,-0.64,3.8896,-0.0834,916.6,0.54,677.0,49.68,35.8,1.0,5557.0,4.603,0.75,-0.065,296.02133,50.56778,15.505,2.66
K00116.02,CONFIRMED,CANDIDATE,0.998,43.84439721,-9.613e-05,151.93538,-0.00192,0.852,-0.585,6.802,-0.119,615.2,0.43,531.0,18.77,83.7,2.0,5854.0,4.406,1.012,-0.103,300.86398,44.337551,12.882,2.87
K00800.01,CONFIRMED,CANDIDATE,1.0,2.711504086,-3.8e-06,170.03417,-0.00111,0.023,-0.023,3.0099,-0.0423,837.5,1.02,1420.0,960.79,64.5,1.0,6214.0,4.442,1.076,-0.118,291.65353,38.494659,15.541,3.12
K00800.02,CONFIRMED,CANDIDATE,1.0,7.21203748,-1.553e-05,172.81782,-0.00163,0.012,-0.012,4.0491,-0.058,950.4,1.09,1025.0,260.58,51.5,2.0,6214.0,4.442,1.076,-0.118,291.65353,38.494659,15.541,3.32
K00789.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,14.1798187,-0.0001643,171.50237,-0.0076,0.1601,-0.16,2.505,-0.315,459.9,0.71,711.0,60.35,11.2,1.2398837469260005,5799.0,4.539,0.878,-0.065,291.0448,51.321671,15.727,1.88
K00790.01,CONFIRMED,CANDIDATE,1.0,8.47237911,-1.56e-05,174.16212,-0.00149,0.022,-0.022,2.7245,-0.0484,1123.5,0.37,751.0,75.44,47.6,1.0,5354.0,4.587,0.788,-0.066,296.36652,51.319519,15.339,2.59
K00790.02,CONFIRMED,CANDIDATE,0.989,60.4189369,-0.0005043,181.16367,-0.00625,0.094,-0.094,5.039,-0.184,931.3,0.34,390.0,5.49,20.1,2.0,5354.0,4.587,0.788,-0.066,296.36652,51.319519,15.339,2.36
K00794.01,CONFIRMED,CANDIDATE,1.0,2.539183147,-5.073e-06,169.67494,-0.0016,0.238,-0.238,2.4282,-0.0559,382.1,0.29,1332.0,743.09,38.9,1.0,5519.0,4.35,1.062,-0.14,291.43997,37.905659,15.026,2.06
K00795.01,CONFIRMED,CANDIDATE,1.0,6.770300385,-9.537e-06,170.57662,-0.00108,0.838,-0.589,2.0844,-0.0454,1304.0,0.46,812.0,102.87,50.8,1.0,5653.0,4.656,0.679,-0.037,290.87051,38.273628,15.591,2.77
K00812.02,CONFIRMED,CANDIDATE,1.0,20.06036336,-5.839e-05,147.46554,-0.00241,0.556,-0.368,3.3203,-0.0754,1494.7,0.13,361.0,4.0,35.2,2.0,3950.0,4.754,0.493,-0.04,286.07913,39.27832,15.954,1.96
K00812.03,CONFIRMED,CANDIDATE,1.0,46.1842039,-0.0002654,165.23729,-0.0043,0.013,-0.013,4.758,-0.13,1394.7,0.12,273.0,1.32,26.0,3.0,3950.0,4.754,0.493,-0.04,286.07913,39.27832,15.954,1.83
K00116.04,CONFIRMED,CANDIDATE,0.952,23.9800854,-0.0002003,147.537,-0.00647,0.95,-0.66,5.351,-0.177,104.0,0.2,649.0,41.94,17.1,4.0,5854.0,4.406,1.012,-0.103,300.86398,44.337551,12.882,1.31
K00812.04,CONFIRMED,CANDIDATE,0.994,7.82502168,-3.89e-05,136.54995,-0.00436,0.708,-0.487,2.186,-0.12,520.8,0.08,494.0,14.05,15.9,4.0,3950.0,4.754,0.493,-0.04,286.07913,39.27832,15.954,1.2
K00814.01,CONFIRMED,CANDIDATE,0.999,22.36646466,-9.761e-05,175.45862,-0.00354,0.4,-0.4,5.228,-0.122,986.8,0.38,536.0,19.45,32.1,1.0,5395.0,4.615,0.734,-0.052,294.71063,39.52174,15.583,2.32
K00804.01,CONFIRMED,CANDIDATE,1.0,9.02930689,-1.648e-05,177.20422,-0.00142,0.024,-0.024,3.1449,-0.0528,1019.8,0.44,757.0,77.75,53.9,1.0,5349.0,4.526,0.82,-0.082,290.33362,38.72823,15.387,2.57
K00116.03,CONFIRMED,CANDIDATE,0.95,6.164876,-4.635e-05,135.63916,-0.00661,0.646,-0.43,3.262,-0.186,55.8,0.13,1021.0,256.35,14.4,3.0,5854.0,4.406,1.012,-0.103,300.86398,44.337551,12.882,0.79
K00806.03,CONFIRMED,CANDIDATE,0.48376823014383996,29.1598615,-0.0002534,150.69922,-0.00718,0.3619,-0.3618,4.803,-0.2,488.0,0.2,524.0,17.85,11.6,1.2398837469260005,5485.0,4.556,0.867,-0.034,285.28363,38.947281,15.403,1.91
K00808.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.99025443,-1.168e-05,171.9834,-0.00309,0.014,-0.014,5.414,-0.113,589.2,0.1,918.0,168.45,48.5,1.0,4667.0,4.578,0.731,-0.063,287.74881,38.92955,15.842,1.7
K00810.01,CONFIRMED,CANDIDATE,1.0,4.783002698,-5.432e-06,170.508434,-0.000943,0.003,-0.003,2.335,-0.0332,1008.7,0.34,886.0,145.48,70.6,1.0,5170.0,4.574,0.807,-0.06,287.09399,39.060719,15.119,2.5
K00811.01,CONFIRMED,CANDIDATE,1.0,20.50588921,-3.206e-05,181.43428,-0.00122,0.26,-0.26,4.0595,-0.0481,2105.5,0.28,518.0,17.06,78.5,1.0,4905.0,4.544,0.761,-0.07,289.31543,39.153278,15.398,3.41
K00812.01,CONFIRMED,CANDIDATE,1.0,3.340218842,-3.177e-06,171.979062,-0.00075,0.466,-0.437,1.9104,-0.0318,1632.6,0.13,656.0,43.73,71.6,1.0,3950.0,4.754,0.493,-0.04,286.07913,39.27832,15.954,2.03
K00829.01,CONFIRMED,CANDIDATE,1.0,18.64932728,-5.202e-05,174.771,-0.00224,0.08,-0.08,4.4056,-0.0687,893.6,0.47,701.0,57.13,46.1,1.0,5775.0,4.405,1.053,-0.094,290.46176,40.562462,15.386,3.12
K00117.02,CONFIRMED,CANDIDATE,1.0,4.90144976,-1.07e-05,138.60548,-0.00175,0.529,-0.46,4.1654,-0.0585,140.7,0.08,1262.0,598.74,50.6,3.0,5847.0,4.191,1.402,-0.046,297.02826,48.208611,12.487,1.7
K00829.02,CONFIRMED,CANDIDATE,0.998,9.75192101,-4.829e-05,138.78608,-0.0036,0.949,-0.673,4.793,-0.181,418.0,0.43,870.0,135.66,28.5,3.0,5775.0,4.405,1.053,-0.094,290.46176,40.562462,15.386,2.76
K00829.03,CONFIRMED,CANDIDATE,1.0,38.5576546,-0.0001765,163.85063,-0.00407,0.911,-0.663,5.794,-0.199,993.0,0.62,550.0,21.71,39.7,2.0,5775.0,4.405,1.053,-0.094,290.46176,40.562462,15.386,4.02
K00817.01,CONFIRMED,CANDIDATE,1.0,23.96793669,-9.249e-05,186.22182,-0.00305,0.416,-0.416,3.827,-0.113,1182.3,0.1,329.0,2.77,27.5,1.0,3747.0,4.728,0.524,-0.044,283.86639,39.898079,15.414,1.8
K00817.02,CONFIRMED,CANDIDATE,0.995,8.29561738,-2.368e-05,135.79284,-0.00219,0.888,-0.612,1.3421,-0.0773,824.3,0.1,469.0,11.39,17.9,2.0,3747.0,4.728,0.524,-0.044,283.86639,39.898079,15.414,1.82
K00818.01,CONFIRMED,CANDIDATE,1.0,8.11437482,-1.092e-05,176.33968,-0.00107,0.573,-0.468,2.2736,-0.0447,1558.0,0.14,460.0,10.55,56.4,1.0,3692.0,4.753,0.517,-0.039,288.81201,40.033401,15.877,2.1
K00117.01,CONFIRMED,CANDIDATE,0.992,14.74914825,-2.174e-05,138.77799,-0.00118,0.173,-0.173,6.0995,-0.044,430.2,0.13,874.0,137.91,107.4,1.0,5847.0,4.191,1.402,-0.046,297.02826,48.208611,12.487,2.89
K00821.01,CONFIRMED,CANDIDATE,1.0,21.81295996,-7.229e-05,174.01085,-0.00261,0.053,-0.053,4.3791,-0.091,1175.4,0.91,639.0,39.33,37.8,1.0,5601.0,4.41,0.999,-0.145,294.77686,40.15374,15.54,3.38
K00825.01,CONFIRMED,CANDIDATE,1.0,8.10363271,-2.032e-05,176.9486,-0.00205,0.047,-0.047,3.161,-0.0635,887.9,0.18,687.0,52.82,39.3,1.0,4861.0,4.574,0.732,-0.068,283.22141,40.421829,15.289,2.11
K00825.02,CONFIRMED,CANDIDATE,1.0,4.71510843,-1.941e-05,134.96178,-0.00324,0.258,-0.258,2.506,-0.103,417.5,0.12,823.0,108.84,21.3,2.0,4861.0,4.574,0.732,-0.068,283.22141,40.421829,15.289,1.46
K00826.01,CONFIRMED,CANDIDATE,1.0,6.365839713,-8.06e-06,171.13575,-0.001,0.524,-0.46,2.9721,-0.0408,780.7,0.6,914.0,165.33,70.8,1.0,5776.0,4.554,0.849,-0.071,291.14951,40.420521,15.09,2.44
K00827.01,FALSE POSITIVE,FALSE POSITIVE,0.037,5.97581754,-1.118e-05,174.77602,-0.00137,0.941,-0.618,3.065,-0.185,962.4,1.32,1047.0,284.25,50.3,1.0,6108.0,4.471,0.997,-0.114,294.22397,40.417858,15.546,3.86
K00841.01,CONFIRMED,CANDIDATE,1.0,15.33528675,-1.989e-05,174.00278,-0.00103,0.773,-0.543,3.897,-0.0771,3081.4,0.49,610.0,32.67,86.6,2.0,5251.0,4.581,0.817,-0.029,292.23676,41.08588,15.855,5.0
K00117.04,CONFIRMED,CANDIDATE,0.998,7.95825328,-7.673e-05,137.80219,-0.00767,0.706,-0.494,4.377,-0.229,50.0,0.05,1074.0,314.15,14.7,4.0,5847.0,4.191,1.402,-0.046,297.02826,48.208611,12.487,1.06
K00834.02,CONFIRMED,CANDIDATE,0.996,13.23352214,-4.503e-05,140.32196,-0.00275,0.014,-0.014,6.7372,-0.0875,504.6,0.54,888.0,146.67,49.1,2.0,5739.0,4.191,1.384,-0.266,287.89713,40.637821,15.084,3.06
K00834.03,CONFIRMED,CANDIDATE,0.997,6.15560285,-2.704e-05,134.81656,-0.00345,0.235,-0.235,4.9843,-0.0994,285.0,0.4,1146.0,406.94,35.1,3.0,5739.0,4.191,1.384,-0.266,287.89713,40.637821,15.084,2.32
K00834.04,CONFIRMED,CANDIDATE,1.0,2.090811305,-9.571e-06,134.17462,-0.00398,0.746,-0.521,3.388,-0.106,115.9,0.28,1642.0,1718.04,19.9,5.0,5739.0,4.191,1.384,-0.266,287.89713,40.637821,15.084,1.62
K00117.03,CONFIRMED,CANDIDATE,0.995,3.180027898,-7.278e-06,133.49863,-0.00181,0.196,-0.196,3.5797,-0.0558,120.3,0.07,1458.0,1066.86,50.4,2.0,5847.0,4.191,1.402,-0.046,297.02826,48.208611,12.487,1.53
K00834.05,CONFIRMED,CANDIDATE,0.989,50.4467417,-0.0006505,178.5014,-0.0103,0.379,-0.378,7.159,-0.247,370.3,0.47,568.0,24.64,19.4,4.0,5739.0,4.191,1.384,-0.266,287.89713,40.637821,15.084,2.67
K00835.01,CONFIRMED,CANDIDATE,1.0,11.76307164,-2.035e-05,180.93613,-0.0013,0.048,-0.048,2.9076,-0.05,1037.3,0.17,616.0,33.99,48.9,1.0,4959.0,4.603,0.756,-0.027,294.20215,40.66341,15.208,2.35
K00835.02,CONFIRMED,CANDIDATE,0.878,56.2279271,-0.0003134,132.29259,-0.00471,0.7,-0.496,3.57,-0.134,862.7,0.17,366.0,4.22,20.9,2.0,4959.0,4.603,0.756,-0.027,294.20215,40.66341,15.208,2.37
K00837.01,CONFIRMED,CANDIDATE,1.0,7.953547,-1.91e-05,174.66224,-0.00182,0.3,-0.3,2.6312,-0.0595,875.4,0.07,696.0,55.37,38.4,1.0,4768.0,4.536,0.779,-0.049,291.15878,40.750271,15.66,2.25
K00837.02,CONFIRMED,CANDIDATE,1.0,4.14451656,-1.44e-05,135.92831,-0.00313,0.004,-0.003,2.3421,-0.0984,391.8,0.05,864.0,132.08,22.8,2.0,4768.0,4.536,0.779,-0.049,291.15878,40.750271,15.66,1.48
K00852.01,CONFIRMED,CANDIDATE,0.876,3.76181843,-1.14e-05,171.90364,-0.00209,0.926,-0.663,3.5176,-0.0901,510.6,0.73,1121.0,372.62,35.9,1.0,5653.0,4.472,0.949,-0.093,283.31638,41.83712,15.257,2.66
K00853.01,CONFIRMED,CANDIDATE,1.0,8.20396958,-1.488e-05,169.69138,-0.00143,0.823,-0.58,2.9667,-0.0529,1024.4,0.24,742.0,71.5,54.4,1.0,5015.0,4.499,0.826,-0.083,286.5657,41.808399,15.376,3.01
K00853.02,CONFIRMED,CANDIDATE,1.0,14.49645186,-6.36e-05,143.41659,-0.00409,0.97,-0.663,4.016,-0.305,647.5,0.24,613.0,33.48,25.7,2.0,5015.0,4.499,0.826,-0.083,286.5657,41.808399,15.376,3.01
K00841.03,CONFIRMED,CANDIDATE,1.0,6.54626149,-2.668e-05,133.85964,-0.00317,0.644,-0.438,2.75,-0.111,655.9,0.22,810.0,101.78,24.8,3.0,5251.0,4.581,0.817,-0.029,292.23676,41.08588,15.855,2.19
K00842.01,CONFIRMED,CANDIDATE,1.0,12.71809866,-2.324e-05,175.35526,-0.00152,0.427,-0.427,3.0957,-0.0562,1149.4,0.17,562.0,23.6,52.7,1.0,4702.0,4.592,0.686,-0.067,292.91312,41.060921,15.389,2.31
K00842.02,CONFIRMED,CANDIDATE,0.999,36.06588163,-8.305e-05,198.58423,-0.00172,0.26,-0.26,4.3246,-0.0634,1563.8,0.19,397.0,5.88,51.7,2.0,4702.0,4.592,0.686,-0.067,292.91312,41.060921,15.389,2.64
K00844.01,CONFIRMED,CANDIDATE,1.0,3.709870784,-3.043e-06,171.987982,-0.000638,0.023,-0.023,3.0694,-0.0265,2020.3,0.64,1151.0,415.1,116.1,1.0,5727.0,4.463,0.978,-0.062,283.86441,41.346458,15.581,4.35
K00845.01,CONFIRMED,CANDIDATE,1.0,16.3297527,-3.611e-05,177.29506,-0.00181,0.791,-0.541,6.271,-0.112,1187.5,1.11,727.0,66.08,74.6,1.0,5878.0,4.444,0.987,-0.125,288.51001,41.301769,15.447,3.75
K00118.01,CONFIRMED,CANDIDATE,0.912,24.99324319,-6.127e-05,138.68167,-0.00197,0.686,-0.505,5.9409,-0.0669,269.6,0.12,712.0,60.88,62.0,1.0,5718.0,4.181,1.317,-0.048,287.36279,38.649601,12.377,2.29
K00849.01,CONFIRMED,CANDIDATE,1.0,10.35533116,-2.087e-05,170.93729,-0.0016,0.029,-0.029,3.1775,-0.0602,750.6,0.59,777.0,86.22,49.2,1.0,5501.0,4.462,0.918,-0.117,288.9942,41.633282,15.018,2.47
K00867.01,CONFIRMED,CANDIDATE,1.0,16.08518937,-3.022e-05,180.28319,-0.00145,0.867,-0.613,3.984,-0.0875,1442.4,0.54,613.0,33.43,62.6,1.0,5239.0,4.523,0.826,-0.081,292.10519,42.380322,15.219,3.68
K00869.01,CONFIRMED,CANDIDATE,1.0,7.49018305,-1.181e-05,174.95037,-0.00124,0.02,-0.02,2.7297,-0.0424,1123.6,0.17,753.0,76.06,53.0,1.0,5103.0,4.562,0.787,-0.039,291.63898,42.436321,15.599,2.56
K00869.02,CONFIRMED,CANDIDATE,1.0,36.2761238,-0.0001055,201.2869,-0.00222,0.035,-0.035,4.7865,-0.0756,1572.6,0.2,445.0,9.29,45.5,2.0,5103.0,4.562,0.787,-0.039,291.63898,42.436321,15.599,3.03
K00869.03,CONFIRMED,CANDIDATE,1.0,17.46087931,-5.278e-05,137.26594,-0.00242,0.594,-0.377,2.2641,-0.0721,812.4,0.15,568.0,24.6,22.6,4.0,5103.0,4.562,0.787,-0.039,291.63898,42.436321,15.599,2.32
K00854.01,CONFIRMED,CANDIDATE,0.996,56.0560754,-0.0002753,201.16578,-0.00329,0.018,-0.018,4.685,-0.132,1626.0,0.12,233.0,0.69,27.4,1.0,3593.0,4.757,0.491,-0.055,289.50848,41.812119,15.849,1.94
K00857.01,CONFIRMED,CANDIDATE,1.0,5.715425977,-7.779e-06,174.87931,-0.0011,0.348,-0.347,2.5242,-0.0418,908.1,0.37,850.0,123.03,59.4,1.0,5237.0,4.572,0.826,-0.057,285.11047,42.033958,15.086,2.47
K00857.02,CONFIRMED,CANDIDATE,0.994,20.0261412,-0.0001272,146.91109,-0.00396,0.957,-0.689,1.611,-0.195,421.2,0.35,559.0,23.14,10.7,2.0,5237.0,4.572,0.826,-0.057,285.11047,42.033958,15.086,2.28
