kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err2,koi_time0bk,koi_time0bk_err2,koi_impact,koi_impact_err2,koi_duration,koi_duration_err2,koi_depth,koi_prad_err1,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_srad_err2,ra,dec,koi_kepmag,koi_prad
K07875.01,CANDIDATE,CANDIDATE,0.826,21.9711574,-0.0006041,137.6914,-0.0214,0.119,-0.118,5.012,-0.805,178.1,0.39,649.0,41.86,7.8,2.0,5763.0,4.436,0.997,-0.126,295.06631,44.162449,15.57,1.32
K01310.02,CANDIDATE,CANDIDATE,0.913,144.688915,-0.00506,256.343,-0.0173,0.087,-0.087,9.468,-0.621,397.1,0.48,416.0,7.09,11.6,2.0,5372.0,4.007,1.71,-0.427,285.66269,48.435371,14.569,3.33
K06128.01,FALSE POSITIVE,FALSE POSITIVE,0.0,12.42555055,-9.417e-05,141.5457,-0.00718,0.973,-0.002,28.492,-0.455,409.0,1.06,1027.0,262.42,123.7,1.0,6381.0,4.155,1.423,-0.402,297.61353,40.584942,13.244,3.79
K06130.01,CANDIDATE,CANDIDATE,0.999,1.54287434,-3.693e-06,132.61697,-0.00204,0.013,-0.013,1.1121,-0.0835,401.4,0.08,1007.0,243.62,20.7,1.0,4530.0,4.704,0.539,-0.039,284.44101,40.625,15.121,1.05
K06131.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,12.4237327,-0.0007974,133.9642,-0.0579,0.132,-0.132,18.15,-1.9,30.1,0.88,1057.0,294.63,20.1,1.0,5221.0,3.72,2.067,-1.33,297.7027,40.68623,12.409,1.12
K06131.02,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,94.38163,-0.01163,171.3362,-0.0725,0.593,-0.4628,11.87,-2.8,91.2,1.62,537.0,19.72,7.5,3.0,5221.0,3.72,2.067,-1.33,297.7027,40.68623,12.409,2.04
K06222.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,210.899577,-0.005992,230.1954,-0.0264,0.3202,-0.3201,2.167,-0.428,3345.0,1.83,268.0,1.22,7.8,2.0,5332.0,4.5,0.843,-0.084,299.61707,47.406021,14.788,4.85
K06224.02,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,253.40538,-0.0148,273.6514,-0.0376,0.3967,-0.3967,7.43,-1.6,240.8,1.61,443.0,9.13,5.0,3.0,7304.0,4.151,1.69,-0.345,295.68192,47.591881,12.962,2.69
K01996.02,CANDIDATE,CANDIDATE,0.95,7.07394528,-6.358e-05,136.64371,-0.00791,0.277,-0.277,2.319,-0.172,228.3,0.06,647.0,41.43,9.5,2.0,4777.0,4.689,0.561,-0.038,288.66891,39.824009,15.629,0.84
K00750.03,CANDIDATE,CANDIDATE,0.929,14.516741,-0.0001564,138.83799,-0.00878,0.851,-0.643,2.706,-0.243,227.2,0.06,606.0,31.8,10.1,3.0,4954.0,4.5,0.828,-0.065,290.46512,47.92918,15.377,1.45
K03283.02,CANDIDATE,CANDIDATE,0.989,20.5718107,-0.0002175,142.80267,-0.00832,0.123,-0.123,3.399,-0.272,379.0,0.14,498.0,14.51,13.0,1.0,4922.0,4.624,0.708,-0.049,286.08908,45.369011,15.322,1.34
K06132.03,CANDIDATE,CANDIDATE,0.998,11.867172,-0.0009287,142.985,-0.104,0.001,-0.001,4.815,-0.252,595.6,1.23,1058.0,296.23,13.4,3.0,6264.0,4.133,1.651,-0.451,294.55789,40.850498,14.624,4.03
K06133.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,2.6160943,-0.0002203,132.5162,-0.0465,0.6458,-0.4113,21.34,-4.0,29.3,0.46,1744.0,2188.14,5.6,2.0,6645.0,4.232,1.42,-0.294,297.31543,40.874981,12.754,0.81
K01319.02,CANDIDATE,CANDIDATE,0.48376823014383996,142.685885,-0.007164,175.9722,-0.038,0.1086,-0.1085,3.792,-0.785,1195.0,1.17,319.0,2.43,9.3,3.0,5767.0,4.57,0.799,-0.063,296.47937,39.127571,15.484,2.76
K06137.01,CANDIDATE,CANDIDATE,1.0,12.4970599,-0.0001533,140.8987,-0.0103,0.65,-0.449,3.877,-0.283,180.0,0.5,839.0,117.3,10.6,1.0,6174.0,4.445,1.021,-0.116,298.19412,41.029331,14.191,1.44
K06137.02,FALSE POSITIVE,FALSE POSITIVE,0.0,7.384681,-0.0001003,132.1721,-0.0112,0.068,-0.068,3.548,-0.279,142.8,0.42,1000.0,236.56,10.6,2.0,6174.0,4.445,1.021,-0.116,298.19412,41.029331,14.191,1.22
K06228.01,CONFIRMED,CANDIDATE,1.0,21.0907909,-0.0001467,133.96316,-0.00581,0.832,-0.574,4.751,-0.159,417.6,0.48,606.0,31.86,19.7,1.0,5723.0,4.546,0.818,-0.073,285.47504,48.034931,14.223,1.88
K06231.01,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,496.17566,-0.04199,174.0663,-0.0352,0.4188,-0.4183,11.63,-2.3,293.0,1.3,358.0,3.88,11.3,2.0,6643.0,3.946,1.976,-0.711,289.90967,48.489231,13.515,3.46
K06233.01,CONFIRMED,CANDIDATE,1.0,16.17803,-0.05099,132.326,-0.345,0.081,-0.081,5.18,-5.9,449.0,0.7,754.0,76.54,6.0,1.0,5929.0,4.413,1.069,-0.141,297.47946,48.418571,14.472,2.25
K00750.04,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,36.5521313,-0.0007078,165.0716,-0.0149,0.4969,-0.3028,2.481,-0.389,282.9,0.05,361.0,4.03,7.7,3.0,4722.0,4.723,0.527,-0.037,290.46512,47.92918,15.377,0.9
K00989.04,FALSE POSITIVE,FALSE POSITIVE,0.48376823014383996,4.08029328,-1.059e-05,131.7047,-0.00201,0.2428,-0.2427,2.8343,-0.0702,1128.4,1.22,1044.0,280.4,43.1,2.0,5619.0,4.536,0.874,-0.067,296.38229,48.045311,15.488,2.92
K02311.03,CONFIRMED,CANDIDATE,0.976,104.3519624,-0.0006973,190.10261,-0.00525,0.532,-0.461,3.695,-0.141,243.8,0.2,355.0,3.74,15.8,1.0,5650.0,4.546,0.87,-0.039,287.24118,39.33276,12.57,1.39
K02433.06,CANDIDATE,CANDIDATE,0.48376823014383996,6.06330298,-5.564e-05,136.17607,-0.00769,0.0214,-0.0213,3.275,-0.196,200.7,0.95,1153.0,418.4,13.1,6.0,6308.0,4.353,1.153,-0.144,294.33847,50.33654,15.212,1.64
K02433.07,CANDIDATE,CANDIDATE,0.0,86.431871,-0.001719,423.0356,-0.015,0.95,-0.646,7.374,-0.414,415.1,0.99,464.0,10.97,11.2,6.0,6325.0,4.409,1.112,-0.129,294.33847,50.33654,15.212,2.85
K02533.03,CANDIDATE,CANDIDATE,0.48376823014383996,26.1152887,-0.0009869,145.5641,-0.0305,0.1382,-0.1381,12.54,-1.1,70.0,1.14,898.0,153.98,10.6,2.0,5190.0,3.63,2.912,-0.94,286.71564,48.645279,13.274,2.38
K07861.01,FALSE POSITIVE,FALSE POSITIVE,0.0,469.52303,-0.009531,381.4073,-0.0146,0.733,-0.545,5.487,-0.565,355.7,0.71,252.0,0.95,10.5,1.0,6197.0,4.449,1.035,-0.116,296.38904,43.85051,14.091,2.1
K02768.03,FALSE POSITIVE,FALSE POSITIVE,1.0,11.83271013,-5.347e-05,137.5928634,-8.31e-05,0.548,-0.444,6.152,-0.922,176.3,0.3,728.0,66.51,12.7,1.0,5639.0,4.551,0.859,-0.073,286.39862,45.343529,15.228,1.17
K06037.01,FALSE POSITIVE,FALSE POSITIVE,0.0,32.669962587,-0.002147863706805708,159.4801924,-0.009932560537870474,0.18,-0.3325574643249177,3.581,-0.33994151372118553,365.4,0.13,428.0,7.96,6.2,1.0,4871.0,4.606,0.741,-0.05,295.03033,42.983501,15.536,1.37
K07864.01,FALSE POSITIVE,FALSE POSITIVE,0.0,117.934158,-0.004953,197.8657,-0.0388,0.658,-0.429,9.25,-1.4,187.5,0.7,648.0,41.73,12.9,1.0,6790.0,3.822,2.597,-0.97,295.86908,43.997959,13.232,3.76
K06043.01,FALSE POSITIVE,FALSE POSITIVE,0.0,5.09112124,-3.831e-05,135.17945,-0.0066,0.224,-0.224,2.159,-0.236,115.1,0.45,2044.0,4131.88,11.4,1.0,6705.0,3.629,3.293,-1.225,298.84302,43.402031,11.585,3.58
